Local Health Integration Network (LHIN),Home Administrator,Licensee,Management Firm,Home Type,Licensed Beds,Approved Short Stay Beds,Residents’ Council,Family Council,Accreditation,Home Designated Under French Language Services Act,Additional Information,Telephone
Central East, MS SANDRA TUCKER  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 61 beds,No,Yes,Yes,Yes,No,,(705) 639-5308
Central East, MS TISHA PEERS  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 107 beds,No,Yes,Yes,Yes,No,,(905) 985-3205
Mississauga Halton, MS ANGELA ARCHER  ,The Regional Municipality Of Halton,,Municipal,Home with approximately 228 beds,Yes,Yes,Yes,Yes,No,,(905) 825-6000
North West, MR PATRICK BERREY  ,Kenora District Home For The Aged Board Of Management,,Municipal,Home with approximately 97 beds,Yes,Yes,Yes,No,No,,(807) 223-4600
,,,,,,,,,,,,
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), Ms Candice Lanthier  ,Liuna Local 837 Nursing Home (Hamilton) Corporation,Chartwell Seniors Housing Reit,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 972-8889
South West, Ms Donna McLeod  ,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,No,,(519) 262-2830
,,,,,,,,,,,,
North West, MR TED SCHOLTEN  ,Riverside Health Care Facilities Inc.,,Non-Profit,Home with approximately 21 beds,No,Yes,No,No,No,,(807) 274-3261
,,,,,,,,,,,,
Central East, MR WAYNE CONNELLY  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,No,,(905) 852-5191
Central East, MS SUSAN GALLANT  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,No,,(905) 885-4558
Erie St. Clair, MS ANNEMARIE MELOCHE  ,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 72 beds,No,Yes,Yes,Yes,No,,(519) 254-1141
Hamilton Niagara Haldimand Brant (Hnhb), Ms Heather Gates  ,Liuna Local 837 Nursing Home (Ancaster) Corporation,Chartwell Seniors Housing Reit,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 383-2970
Champlain, MR ALEXANDRE GORMAN  ,United Counties Of Prescott And Russell,,Municipal,Home with approximately 146 beds,Yes,Yes,Yes,Yes,No,,(613) 632-2758
,,,,,,,,,,,,
Erie St. Clair, MS HEATHER WHIFIELD  ,Richmond Terrace Limited,Apans Health Services,For-Profit,Home with approximately 120 beds,Yes,Yes,Yes,Yes,No,,(519) 736-4295
South East, CASIE KEYES  ,The Corporation Of The City Of Kingston,,Municipal,Home with approximately 170 beds,No,Yes,Yes,Yes,No,,(613) 530-2818
Hamilton Niagara Haldimand Brant (Hnhb), MS Kim Rheinlander  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 561-3332
,,,,,,,,,,,,
Central, Ms Darlene Horne  ,Atk Care Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 722-3631
Waterloo Wellington, MS DEBORAH SIMS  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 54 beds,No,Yes,Yes,Yes,No,,(519) 740-3820
Erie St. Clair, MR DAVID TOWERS  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(519) 974-0148
Erie St. Clair, MS MARY ALICE SEARLES  ,The Corporation Of The Municipality Of Chatham-kent,,Municipal,Home with approximately 320 beds,Yes,Yes,Yes,No,No,,(519) 352-4823
Central East, MS MARY ANNE GRECO  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,No,,(705) 748-6706
North Simcoe Muskoka, Ms Carrie Acton  ,Barrie Long Term Care Centre Inc.,Jarlette Health Services,For-Profit,Home with approximately 140 beds,No,Yes,No,Yes,No,,(705) 733-3231
Central East, MS NAZIRA JAFFER  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 204 beds,Yes,Yes,Yes,Yes,No,,(416) 264-3201
South West, MS KAREN KRAUS  ,Corporation Of The County Of Grey,,Municipal,Home with approximately 100 beds,No,Yes,Yes,No,No,,(519) 369-6035
Toronto Central, MS HELEN JUNG  ,Rose Of Sharon (Ontario) Retirement Community,Assured Care Consulting Inc.,Non-Profit,Home with approximately 60 beds,No,Yes,Yes,No,No,,(416) 979-7027
South East, MS TRACEY FOSTER  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 78 beds,No,Yes,Yes,Yes,No,,(613) 283-5471
North East, MR PAUL CHATELAIN  ,Bingham Memorial Hospital,,Non-Profit,Home with approximately 20 beds,No,Yes,Yes,No,No,,(705) 273-2424
Champlain, MS DEBIE PILON (Interim)  ,Royal Ottawa Health Care Group,,Non-Profit,Home with approximately 70 beds,Yes,Yes,Yes,Yes,No,,(613) 722-6521
Hamilton Niagara Haldimand Brant (Hnhb), MS HELEN MILLAR  ,859530 Ontario Inc. (Operating As Jarlette Health Services),,For-Profit,Home with approximately 96 beds,No,No,No,No,No,,rue
Waterloo Wellington, MS SHELLEY GOULD  ,Shanti Enterprises Limited,,For-Profit,Home with approximately 67 beds,No,Yes,Yes,Yes,No,,(519) 343-2611
,,,,,,,,,,,,
Champlain, MS STEPHANIE KINNEAR  ,458422 Ontario Limited,,For-Profit,Home with approximately 53 beds,No,Yes,Yes,Yes,No,,(613) 933-6972
North West, MS DEBBIE HARDY  ,Sante Manitouwadge Health,,Non-Profit,Home with approximately 9 beds,No,Yes,Yes,Yes,No,,(807) 826-3251
North Simcoe Muskoka, Ms Gale Coburn  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,No,,(705) 322-2182
Champlain, MS CHANTAL CRISPIN  ,2629693 Ontario Inc.,Taminagi Inc. (As Manager),For-Profit,Home with approximately 46 beds,No,Yes,Yes,Yes,No,"Recipient no 346524 – Sarsfield Colonial Home
Comment - Change in Ownership effective February 19 2020. Details transferred to Recipient no 664183/ Facility no NH1692
",(613) 835-2977
South West, Ms Heather Whitfield  ,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 63 beds,Yes,Yes,Yes,Yes,No,,(519) 527-0030
South West, MS TAMMY LYN SMITH  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 80 beds,Yes,Yes,Yes,Yes,No,,(519) 485-3920
Central, MS KATHY METCALFE  ,North York General Hospital,,Non-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,No,,(416) 756-0066
Central East, MR PETER PUIATTI  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 249 beds,Yes,Yes,Yes,Yes,No,,(416) 392-3500
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), Mr Kenneth Callaghan  ,Shalom Village Nursing Home,,Non-Profit,Home with approximately 127 beds,No,Yes,Yes,Yes,No,,(905) 529-1613
Central West, MS. LISA THOMPSON  ,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,No,,(519) 925-3746
Central East, MS CATHY FIORE  ,Shepherd Village Inc.,,Non-Profit,Home with approximately 252 beds,No,Yes,Yes,Yes,No,,(416) 609-5700
Toronto Central, MS COLETTE CAMERON  ,Drs. Paul And John Rekai Centre,,Non-Profit,Home with approximately 126 beds,Yes,Yes,No,Yes,No,,(416) 964-1599
Mississauga Halton, MS MARIANNE KLEIN  ,The Regional Municipality Of Peel,,Municipal,Home with approximately 142 beds,No,Yes,Yes,Yes,No,,(905) 791-8668
Central, LEEAN BOWMAN  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(905) 303-3565
South East, MR ALFRED O'ROURKE  ,Sherwood Park Manor,,Non-Profit,Home with approximately 107 beds,No,Yes,Yes,No,No,,(613) 342-5531
Mississauga Halton, Ms Chris Read  ,Specialty Care Mississauga Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 817-7050
Central, Ms Janina Grabowski  ,Corporation Of The County Of Simcoe,Simcoe County (Self-managed),Municipal,Home with approximately 126 beds,Yes,Yes,Yes,Yes,No,,(905) 729-2267
Central, SUKHWINDER PALIAL  ,Poranganel Holdings Limited,,For-Profit,Home with approximately 36 beds,No,Yes,Yes,Yes,No,,(905) 833-5037
Central West, MRS JANICE L. KING  ,King Nursing Home Limited,,For-Profit,Home with approximately 86 beds,Yes,Yes,Yes,Yes,No,,(905) 857-4117
South West, MS THERESA WAKEM  ,Kingsway Nursing Homes Limited,,For-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,No,,(519) 284-2921
Central West, MR BAMBO OLUWADIMU  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 337 beds,Yes,Yes,Yes,Yes,No,,(416) 392-2300
,,,,,,,,,,,,
,,,,,,,,,,,,
Mississauga Halton, MS LAURA PUTERIS  ,Labdara Foundation,Assured Care Consulting Inc.,Non-Profit,Home with approximately 90 beds,No,Yes,Yes,No,No,,(416) 232-2112
North East, MS KADEAN OGILVIE-PINTER  ,Lady Dunn Health Centre,,Non-Profit,Home with approximately 16 beds,Yes,Yes,Yes,Yes,No,,(705) 856-2335
North East, MR STEVE WHITE (A)  ,West Parry Sound Health Centre,,Non-Profit,Home with approximately 20 beds,No,No,No,No,No,,(705) 746-9667
North East, MR STEVE WHITE (A)  ,Lakeland Long Term Care Services Corporation,,Non-Profit,Home with approximately 90 beds,No,Yes,No,No,No,,(705) 746-9667
Toronto Central, MR RANJIT CALAY  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 150 beds,No,Yes,Yes,Yes,No,,(416) 392-9400
Toronto Central, MS RACHELLE CUARESMA-CANLAS  ,Toronto Rehabilitation Institute,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,No,,(416) 533-2828
Central East, MR MICHAEL MACDONALD  ,Regional Municipality Of Durham,,Municipal,Home with approximately 149 beds,Yes,Yes,Yes,Yes,No,,(705) 426-7388
Erie St. Clair, DULCIE LINDO  ,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 125 beds,No,Yes,Yes,No,No,,(519) 882-1470
Waterloo Wellington, MS HILDY NICKEL  ,Steeves & Rozema Enterprises Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(519) 743-4200
South East, MS JENNIE BINGLEY  ,The Corporation Of The County Of Lanark,,Municipal,Home with approximately 163 beds,Yes,Yes,Yes,Yes,No,,(613) 267-4225
Central, MS DENIESE JOHNSON  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 731-2273
Waterloo Wellington, MS DAHLIA BURT-GERRANS  ,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,No,,(519) 821-9030
North Simcoe Muskoka, Ms. Rhonda Murray-Collins  ,Orillia Long Term Care Centre Inc.,,For-Profit,Home with approximately 145 beds,Yes,Yes,Yes,Yes,No,"705-325-9181 Ext.  201
DOC: Cara Sander
rcollins@jarlette.com
",(705) 325-9181
,,,,,,,,,,,,
South West, MS STACEY GOLDIE  ,Corporation Of The County Of Grey,,Municipal,Home with approximately 150 beds,No,Yes,Yes,No,No,,(519) 376-4420
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), MS CINDY PERRODOU  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 248 beds,Yes,Yes,Yes,Yes,No,,(905) 934-3364
Champlain, MS TRACY HALL-KONINK  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 114 beds,No,Yes,Yes,Yes,No,,(613) 823-8999
Hamilton Niagara Haldimand Brant (Hnhb), MS. HOLLY ODOARDI (A)  ,City Of Hamilton,,Municipal,Home with approximately 270 beds,No,Yes,Yes,Yes,No,,(905) 546-2800
Central, MR ANDRE BARROS  ,Mackenzie Health,Universalcare Canada Inc.,Non-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,No,,(905) 883-2442
Central, MS YVONNE CARVALHO  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 93 beds,No,Yes,Yes,Yes,No,,(905) 853-3242
Champlain, Ms Denae Moores  ,The Royale Development Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(613) 824-2040
Toronto Central, MS JUDITH JACKSON  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 150 beds,Yes,Yes,Yes,Yes,No,,(416) 690-3001
South West, Ms Tanya Adams  ,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,No,,(519) 524-7324
Central West, Mr Dwayne Green  ,The Regional Municipality Of Peel,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 823-6700
North East, MS TAMARA BEAM  ,Manitoulin Centennial Manor Home For The Aged Board Of Management,Extendicare (Canada) Inc.,Municipal,Home with approximately 60 beds,No,Yes,No,No,No,,(705) 368-2710
North East, MS SUSAN FARREN  ,584482 Ontario Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,No,,(705) 282-2007
Champlain, MR. PAUL BEVERLEY  ,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 64 beds,No,Yes,Yes,No,No,,(613) 744-1861
Central West, MS MICHELE MACKENZIE  ,2063415 Ontario Limited As General Partner Of 2063415 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 458-7604
South West, Ulrike Lammel-Joseph  ,Maplewood Nursing Home Limited,,For-Profit,Home with approximately 106 beds,No,Yes,Yes,Yes,No,,(519) 842-3563
Hamilton Niagara Haldimand Brant (Hnhb), MS CAROLE JUKOSKY  ,1365853 Ontario Limited,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(905) 994-0224
South West, MS TRACEE GIVENS  ,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 29 beds,No,Yes,Yes,Yes,No,,(519) 376-2522
South East, MS TRACY JORDAN  ,United Counties Of Leeds And Grenville,,Municipal,Home with approximately 60 beds,No,Yes,Yes,No,No,,(613) 924-2696
Hamilton Niagara Haldimand Brant (Hnhb), MRS BARBARA GOETZ  ,Dallov Holdings Limited,,For-Profit,Home with approximately 93 beds,No,Yes,Yes,Yes,No,,(905) 639-2264
South East, MS RACHEL CORKEY  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 49 beds,No,Yes,Yes,Yes,No,,(613) 475-2442
Champlain, MS LINDA M. TRACEY  ,Marianhill Inc.,,Non-Profit,Home with approximately 139 beds,Yes,Yes,Yes,Yes,No,,(613) 735-6838
Central, MR BERNARD BORELAND  ,Mariann Nursing Home And Residence,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,No,,(905) 884-9276
Central, MR MIKE BAKEWELL  ,"Markhaven, Inc.",,Non-Profit,Home with approximately 96 beds,No,No,Yes,No,No,,(905) 294-2233
Erie St. Clair, MS CARLA ALWAY  ,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 126 beds,No,Yes,Yes,No,No,,(519) 336-3720
North East, MR PAUL BELAIR  ,The Ontario-finnish Resthome Association,,Non-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,No,,(705) 945-9987
,,,,,,,,,,,,
Toronto Central, JULIE MUSIC  ,Schlegel Villages Inc,,For-Profit,Home with approximately 77 beds,No,Yes,Yes,Yes,No,,(416) 533-5198
Mississauga Halton, MS. LISA ROMANIELLO  ,The Credit Valley Hospital & Trillium Health Cntr,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 21 beds,No,Yes,No,Yes,No,,(416) 259-2573
South West, MS TANYA POL  ,The Women's Christian Association Of London,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,No,,(519) 432-2648
South West, Bidur Swamy  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 157 beds,No,Yes,Yes,Yes,No,,(519) 672-0500
South West, MS MICHELLE PRIESTER (Acting)  ,Meadow Park (London) Inc.,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,No,,(519) 686-0484
Erie St. Clair, MS ANNE-MARIE RUMBLE  ,Meadow Park (Chatham) Inc.,,For-Profit,Home with approximately 99 beds,Yes,Yes,Yes,Yes,No,,(519) 351-1330
South West, MR PAUL REKTOR  ,Meaford Nursing Home Limited,,For-Profit,Home with approximately 77 beds,Yes,Yes,Yes,Yes,No,,(519) 538-1010
,,,,,,,,,,,,
South West, JAN SHKILNYK  ,Middlesex Terrace Limited,Apans Health Services,For-Profit,Home with approximately 105 beds,No,Yes,Yes,Yes,No,,(519) 652-3483
Central East, MS LORA MONACO  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 299 beds,Yes,Yes,Yes,Yes,No,,(416) 264-2301
North Simcoe Muskoka, MS. Althea Bess (Interim)  ,Mill Creek Care Centre,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,No,,(705) 719-6222
Hamilton Niagara Haldimand Brant (Hnhb), Ms Lori Turcotte  ,955464 Ontario Limited,Self-management,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 356-5005
Champlain, MR MIKE BLACKMORE  ,County Of Renfrew,,Municipal,Home with approximately 166 beds,Yes,Yes,Yes,Yes,No,,(613) 735-0175
Mississauga Halton, MR NOVAK BAJIN  ,Mississauga Long Term Care Facility Inc.,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,No,,(905) 278-2213
South West, MS TANYA MACDONALD  ,Ritz Lutheran Villa,,Non-Profit,Home with approximately 48 beds,No,Yes,Yes,No,No,,(519) 348-8861
South East, MR MICHAEL O'KEEFFE  ,Aon Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(613) 478-5524
,,,,,,,,,,,,
Central, MS SHERRY LI  ,Mon Sheong Foundation,,Non-Profit,Home with approximately 192 beds,Yes,Yes,Yes,No,No,,(905) 883-9288
Central East, MS STELLA LEUNG  ,Mon Sheong Foundation,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,No,No,,(416) 291-3898
Champlain, MS KELLY BOISCLAIR  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,Yes,,(613) 746-8602
Waterloo Wellington, MS KAREN BOLGER  ,Retirement Home Specialists Incorporated,,For-Profit,Home with approximately 28 beds,No,Yes,No,No,No,,(519) 822-9179
South West, MR.ANDREW ADAMYK  ,"St. Joseph's Health Care, London",,Non-Profit,Home with approximately 177 beds,Yes,Yes,Yes,Yes,No,,(519) 646-6000
Hamilton Niagara Haldimand Brant (Hnhb), Ms Karen Edge  ,Canadian Reformed Society For A Home For The Aged Inc.,,Non-Profit,Home with approximately 61 beds,No,Yes,Yes,Yes,No,,(905) 335-3636
North Simcoe Muskoka, MS PAMM REAIN  ,Huntsville Long Term Care Centre Inc.,,For-Profit,Home with approximately 94 beds,Yes,Yes,Yes,Yes,No,,(705) 788-7713
North Simcoe Muskoka, MS ANGELA COUTTS  ,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,Home with approximately 183 beds,No,Yes,Yes,Yes,No,,(705) 687-3444
Hamilton Niagara Haldimand Brant (Hnhb), MS DEBBIE SMITH  ,Niagara Health System,,Non-Profit,Home with approximately 115 beds,No,Yes,No,Yes,No,,(905) 732-6111
,,,,,,,,,,,,
North West, Ms Jacqueline Dorval  ,Nipigon District Memorial Hospital,,Non-Profit,Home with approximately 15 beds,No,Yes,No,Yes,No,,(807) 887-3026
North East, MR WENTWORTH GRAHAM  ,1895357 Ontario Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(705) 752-1100
,,,,,,,,,,,,
,,,,,,,,,,,,
Central, Gajany Sivalingam  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(416) 623-1120
,,,,,,,,,,,,
Erie St. Clair, MR DAVE GROOTJEN  ,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 88 beds,No,Yes,Yes,No,No,,(519) 786-2151
Central, MS NATASHA MURRAY  ,North Park Nursing Home Limited,Assured Care Consulting Inc.,For-Profit,Home with approximately 75 beds,No,Yes,Yes,Yes,No,,(416) 247-0531
,,,,,,,,,,,,
North East, MR RALPH BARKER  ,North Shore Health Network,,Non-Profit,Home with approximately 10 beds,No,Yes,No,Yes,No,,(705) 356-2265
North East, MR RALPH BARKER  ,North Shore Health Network,,Non-Profit,Home with approximately 22 beds,No,Yes,Yes,Yes,No,,(705) 356-2265
Hamilton Niagara Haldimand Brant (Hnhb), MS GAIL GILL  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 151 beds,No,Yes,No,Yes,No,,(905) 835-9335
Mississauga Halton, MS LESLEY HARRIS  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 133 beds,No,Yes,Yes,Yes,No,,(905) 257-9882
South West, ERNIE HARRIS (Interim)  ,Craigwiel Gardens,,Non-Profit,Home with approximately 83 beds,Yes,Yes,Yes,No,No,stutti@craigwielgardens.on.ca   ,(519) 293-3215
Central East, Mr Adam Kertesz  ,Craiglee Nursing Home Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,No,,(416) 264-2000
North Simcoe Muskoka, Ms. Sadie Friesner  ,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,Home with approximately 95 beds,No,Yes,Yes,Yes,No,,(705) 466-3437
Hamilton Niagara Haldimand Brant (Hnhb), MS Lorianne Ledwez  ,The Regional Municipality Of Halton,,Municipal,Home with approximately 144 beds,No,Yes,Yes,Yes,No,,(905) 825-6000
Hamilton Niagara Haldimand Brant (Hnhb), MRS ROSEMARY TURNER  ,955464 Ontario Limited,,For-Profit,Home with approximately 68 beds,Yes,Yes,Yes,Yes,No,,(905) 871-8330
South East, MS SANDRA HONEY  ,Crown Ridge Health Care Services Inc.,,For-Profit,Home with approximately 116 beds,Yes,Yes,Yes,Yes,No,,(613) 392-1289
Central, Hao Chau  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 391 beds,Yes,Yes,Yes,Yes,No,,(416) 392-9500
South West, LESLIE HANCOCK  ,The Corporation Of The City Of London,,Municipal,Home with approximately 243 beds,Yes,Yes,Yes,Yes,No,"Datars Bere, Dearness Home Managing Director ",(519) 661-0400
Hamilton Niagara Haldimand Brant (Hnhb), MS KAREN POW  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 39 beds,No,Yes,No,Yes,No,,(905) 945-4164
Central West, MS LORA MONACO  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(416) 213-7300
Hamilton Niagara Haldimand Brant (Hnhb), Ms Debbie Cornell  ,Delhi Nursing Home Ltd.,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,No,,(519) 582-3400
Waterloo Wellington, MS PAMELA DERBECKER  ,Derbecker's Heritage House Limited,,For-Profit,Home with approximately 73 beds,No,Yes,No,No,No,,(519) 664-2921
Mississauga Halton, MS JOLANTA LINDE  ,Slovenian Linden Foundation,,Non-Profit,Home with approximately 66 beds,No,Yes,No,No,No,,(416) 621-3820
Hamilton Niagara Haldimand Brant (Hnhb), Ms Ada DiFlavio  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 120 beds,Yes,Yes,Yes,Yes,No,,(905) 714-7428
Hamilton Niagara Haldimand Brant (Hnhb), Ms Pauline Robinson  ,Dover Cliffs Operating Inc.,,For-Profit,Home with approximately 70 beds,Yes,Yes,Yes,Yes,No,,(519) 583-1422
Central, MR ROBERT SCOTT  ,Gem Health Care Group Limited,Humber River Hospital,For-Profit,Home with approximately 252 beds,Yes,Yes,Yes,Yes,No,,(416) 633-3431
Central West, MS. BRENDA WAGNER  ,Corporation Of The County Of Dufferin,,Municipal,Home with approximately 160 beds,No,Yes,Yes,No,No,,(519) 925-2140
Champlain, MS SUSAN POIRIER  ,Rural Healthcare Innovations Inc.,Winchester District Memorial Hospital,Non-Profit,Home with approximately 98 beds,No,Yes,Yes,Yes,No,,(613) 774-2293
Hamilton Niagara Haldimand Brant (Hnhb), Mr Danny Pereira  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 201 beds,Yes,Yes,Yes,Yes,No,,(905) 523-6427
South East, MRS ANITA GARLAND  ,Keay Nursing Homes Inc.,,For-Profit,Home with approximately 57 beds,Yes,Yes,No,Yes,No,,(613) 966-7717
Central, MRS DIANE T. BRUNELLE-MARLEAU  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 70 beds,No,Yes,Yes,Yes,No,,(905) 895-5187
South West, ROB BISSONNETTE  ,Sharon Farms & Enterprises Limited,Responsive Health Management Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(519) 601-5088
North East, Ms Odelia Callery  ,East District Of Parry Sound Home For The Aged,,Municipal,Home with approximately 128 beds,No,Yes,Yes,No,No,,(705) 724-2005
Mississauga Halton, MS EVELYN MACDONALD  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 247 beds,No,Yes,Yes,Yes,No,,(416) 621-8000
Waterloo Wellington, MS SHELLEY NICOL  ,Eden House Care Facility Inc.,Assured Care Consulting Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,No,,(519) 856-4622
Hamilton Niagara Haldimand Brant (Hnhb), MR. GREG ALLEN  ,Haldimand War Memorial Hospital,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,No,,(905) 774-2503
Central East, Ms Sarah Rooney  ,Estonian Relief Committee In Canada,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,No,No,,(416) 284-0813
South West, MS BRENDA DENT  ,Capricorn Investments Corporation Limited,Extendicare (Canada) Inc.,For-Profit,Home with approximately 27 beds,No,Yes,No,Yes,No,,(519) 363-3195
South West, MS TERRI BENWELL  ,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 90 beds,Yes,Yes,Yes,No,No,,(519) 631-0620
